File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
b8da3f94-6213-4636-a8f0-26a4b419e3fb	9c77be54-d58e-4dec-8894-acb71a12cac5.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-DA-A1IA	TCGA-DA-A1IA-06A	Metastatic
d03e49c8-64e7-42e0-ae70-5cb7b2be50f6	fa8b5c6a-0ad9-44b1-baba-440fdccbb828.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-D3-A2JB	TCGA-D3-A2JB-06A	Metastatic
e5465765-923b-455b-b097-d16e11c8dd92	9c17af03-69e5-4bbb-9b09-78969279fcb8.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-EB-A4IS	TCGA-EB-A4IS-01A	Primary Tumor
403e1549-29ab-45ce-9bf1-79aa37a58752	bb1deae0-b7c8-4741-8be4-fa28994730a4.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-DA-A1HV	TCGA-DA-A1HV-06A	Metastatic
7ac1452a-7ac1-4704-ae17-ae7f128c3d68	48c98162-a7ff-47ee-87cb-5c38ff3bbc92.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-WE-A8K5	TCGA-WE-A8K5-06A	Metastatic
5884e418-e811-4850-bcb3-89e09572de29	677291bf-6149-4c97-b958-dd2b0219bfe5.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-ER-A19L	TCGA-ER-A19L-06A	Metastatic
b1faa099-a7c1-4ab1-be53-197a9085ddb3	8dadb8c5-a10b-4e48-8f2b-54471344d32b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-D3-A5GL	TCGA-D3-A5GL-06A	Metastatic
5e02f474-0ee6-48e4-be8d-4b842c91d8ad	041e2dc3-7073-4ff8-b764-c1a75850977c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-FS-A4F2	TCGA-FS-A4F2-06A	Metastatic
40832679-44df-447a-8096-7f806b08e35e	7ef16280-e921-4585-bca7-8429e6089a34.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-DA-A1I7	TCGA-DA-A1I7-06A	Metastatic
6986b7dc-25ed-4ae9-81b4-0892474d9e67	fc6f1676-b097-40f8-9c0c-fc8142cf5be3.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-EB-A4P0	TCGA-EB-A4P0-01A	Primary Tumor
